Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Hampton City Public Schools,Benjamin Syms Middle,Chronic Absenteeism,2018 - 2019,207,979,21.14
2019,Hampton City Public Schools,Bethel High,Chronic Absenteeism,2018 - 2019,266,1675,15.88
2019,Hampton City Public Schools,Booker Elementary,Chronic Absenteeism,2018 - 2019,46,373,12.33
2019,Hampton City Public Schools,C. Alton Lindsay Middle,Chronic Absenteeism,2018 - 2019,108,666,16.22
2019,Hampton City Public Schools,Captain John Smith Elementary,Chronic Absenteeism,2018 - 2019,47,377,12.47
2019,Hampton City Public Schools,Cesar Tarrant Middle,Chronic Absenteeism,2018 - 2019,100,621,16.1
2019,Hampton City Public Schools,Christopher C. Kraft Elementary ,Chronic Absenteeism,2018 - 2019,41,409,10.02
2019,Hampton City Public Schools,Francis Asbury Elementary,Chronic Absenteeism,2018 - 2019,42,438,9.59
2019,Hampton City Public Schools,Francis W. Jones Magnet Middle,Chronic Absenteeism,2018 - 2019,56,625,8.96
2019,Hampton City Public Schools,George P. Phenix Elementary,Chronic Absenteeism,2018 - 2019,72,1359,5.3
2019,Hampton City Public Schools,Hampton High,Chronic Absenteeism,2018 - 2019,328,1472,22.28
2019,Hampton City Public Schools,Hunter B. Andrews,Chronic Absenteeism,2018 - 2019,106,1025,10.34
2019,Hampton City Public Schools,Jane H. Bryan Elementary,Chronic Absenteeism,2018 - 2019,48,377,12.73
2019,Hampton City Public Schools,John B. Cary Elementary,Chronic Absenteeism,2018 - 2019,33,345,9.57
2019,Hampton City Public Schools,John Tyler Elementary,Chronic Absenteeism,2018 - 2019,50,415,12.05
2019,Hampton City Public Schools,Kecoughtan High,Chronic Absenteeism,2018 - 2019,282,1638,17.22
2019,Hampton City Public Schools,Luther W. Machen Elementary ,Chronic Absenteeism,2018 - 2019,41,412,9.95
2019,Hampton City Public Schools,Paul Burbank Elementary,Chronic Absenteeism,2018 - 2019,27,362,7.46
2019,Hampton City Public Schools,Phillips Elementary,Chronic Absenteeism,2018 - 2019,47,428,10.98
2019,Hampton City Public Schools,Phoebus High,Chronic Absenteeism,2018 - 2019,209,1009,20.71
2019,Hampton City Public Schools,Samuel P. Langley Elementary,Chronic Absenteeism,2018 - 2019,42,528,7.95
2019,Hampton City Public Schools,Thomas Eaton Middle,Chronic Absenteeism,2018 - 2019,32,591,5.41
2019,Hampton City Public Schools,Tucker-Capps Elementary,Chronic Absenteeism,2018 - 2019,12,303,3.96
2019,Hampton City Public Schools,William Mason Cooper Elementary,Chronic Absenteeism,2018 - 2019,5,365,1.37
2019,Hanover County Public Schools,Atlee High,Chronic Absenteeism,2018 - 2019,60,1588,3.78
2019,Hanover County Public Schools,Battlefield Park Elementary,Chronic Absenteeism,2018 - 2019,12,431,2.78
2019,Hanover County Public Schools,Beaverdam Elementary,Chronic Absenteeism,2018 - 2019,15,304,4.93
2019,Hanover County Public Schools,Chickahominy Middle,Chronic Absenteeism,2018 - 2019,40,1161,3.45
2019,Hanover County Public Schools,Cold Harbor Elementary,Chronic Absenteeism,2018 - 2019,17,515,3.3
2019,Hanover County Public Schools,Cool Spring Elementary,Chronic Absenteeism,2018 - 2019,14,657,2.13
2019,Hanover County Public Schools,Elmont Elementary,Chronic Absenteeism,2018 - 2019,19,383,4.96
2019,Hanover County Public Schools,HCPS High School ,Chronic Absenteeism,2018 - 2019,107,1449,7.38
2019,Hanover County Public Schools,HCPS Middle School,Chronic Absenteeism,2018 - 2019,59,1043,5.66
2019,Hanover County Public Schools,Hanover High,Chronic Absenteeism,2018 - 2019,58,1373,4.22
2019,Hanover County Public Schools,Henry Clay Elementary,Chronic Absenteeism,2018 - 2019,18,327,5.5
2019,Hanover County Public Schools,John M. Gandy Elementary,Chronic Absenteeism,2018 - 2019,9,328,2.74
2019,Hanover County Public Schools,Kersey Creek Elementary,Chronic Absenteeism,2018 - 2019,13,733,1.77
2019,Hanover County Public Schools,Laurel Meadow Elementary,Chronic Absenteeism,2018 - 2019,18,551,3.27
2019,Hanover County Public Schools,Liberty Middle,Chronic Absenteeism,2018 - 2019,76,1080,7.04
2019,Hanover County Public Schools,Mechanicsville Elementary,Chronic Absenteeism,2018 - 2019,22,573,3.84
2019,Hanover County Public Schools,Oak Knoll Middle,Chronic Absenteeism,2018 - 2019,25,905,2.76
2019,Hanover County Public Schools,Patrick Henry High,Chronic Absenteeism,2018 - 2019,163,1357,12.01
2019,Hanover County Public Schools,Pearson's Corner Elementary,Chronic Absenteeism,2018 - 2019,7,581,1.2
2019,Hanover County Public Schools,Pole Green Elementary,Chronic Absenteeism,2018 - 2019,10,561,1.78
2019,Hanover County Public Schools,Rural Point Elementary,Chronic Absenteeism,2018 - 2019,14,509,2.75
2019,Hanover County Public Schools,South Anna Elementary,Chronic Absenteeism,2018 - 2019,21,531,3.95
2019,Hanover County Public Schools,Washington-Henry Elementary ,Chronic Absenteeism,2018 - 2019,6,403,1.49
2019,Harrisonburg City Public Schools,Bluestone Elementary,Chronic Absenteeism,2018 - 2019,24,590,4.07
2019,Harrisonburg City Public Schools,Harrisonburg High,Chronic Absenteeism,2018 - 2019,421,1846,22.81
2019,Harrisonburg City Public Schools,Keister Elementary,Chronic Absenteeism,2018 - 2019,20,347,5.76
2019,Harrisonburg City Public Schools,Skyline Middle,Chronic Absenteeism,2018 - 2019,97,706,13.74
2019,Harrisonburg City Public Schools,Smithland Elementary,Chronic Absenteeism,2018 - 2019,38,536,7.09
2019,Harrisonburg City Public Schools,Spotswood Elementary,Chronic Absenteeism,2018 - 2019,23,416,5.53
2019,Harrisonburg City Public Schools,Stone Spring Elementary,Chronic Absenteeism,2018 - 2019,50,481,10.4
2019,Harrisonburg City Public Schools,Thomas Harrison Middle,Chronic Absenteeism,2018 - 2019,62,670,9.25
2019,Harrisonburg City Public Schools,Waterman Elementary,Chronic Absenteeism,2018 - 2019,35,514,6.81
2019,Henrico County Public Schools,Anthony P. Mehfoud Elementary,Chronic Absenteeism,2018 - 2019,18,257,7
2019,Henrico County Public Schools,Arthur Ashe Jr. Elementary ,Chronic Absenteeism,2018 - 2019,53,447,11.86
2019,Henrico County Public Schools,Brookland Middle,Chronic Absenteeism,2018 - 2019,123,1154,10.66
2019,Henrico County Public Schools,Cashell Donahoe Elementary,Chronic Absenteeism,2018 - 2019,58,483,12.01
2019,Henrico County Public Schools,Chamberlayne Elementary,Chronic Absenteeism,2018 - 2019,19,369,5.15
2019,Henrico County Public Schools,Charles M. Johnson Elementary,Chronic Absenteeism,2018 - 2019,57,524,10.88
2019,Henrico County Public Schools,Colonial Trail Elementary,Chronic Absenteeism,2018 - 2019,29,702,4.13
2019,Henrico County Public Schools,Crestview Elementary,Chronic Absenteeism,2018 - 2019,25,344,7.27
2019,Henrico County Public Schools,David A. Kaechele Elementary ,Chronic Absenteeism,2018 - 2019,25,421,5.94
2019,Henrico County Public Schools,Deep Run High,Chronic Absenteeism,2018 - 2019,78,1789,4.36
2019,Henrico County Public Schools,Douglas S. Freeman High,Chronic Absenteeism,2018 - 2019,208,1824,11.4
2019,Henrico County Public Schools,Dumbarton Elementary,Chronic Absenteeism,2018 - 2019,46,619,7.43
2019,Henrico County Public Schools,Echo Lake Elementary,Chronic Absenteeism,2018 - 2019,13,497,2.62
2019,Henrico County Public Schools,Elizabeth Holladay Elementary,Chronic Absenteeism,2018 - 2019,59,576,10.24
2019,Henrico County Public Schools,Elko Middle,Chronic Absenteeism,2018 - 2019,131,812,16.13
2019,Henrico County Public Schools,Fair Oaks Elementary,Chronic Absenteeism,2018 - 2019,73,396,18.43
2019,Henrico County Public Schools,Fairfield Middle,Chronic Absenteeism,2018 - 2019,145,1093,13.27
2019,Henrico County Public Schools,Gayton Elementary,Chronic Absenteeism,2018 - 2019,15,572,2.62
2019,Henrico County Public Schools,George F. Baker Elementary,Chronic Absenteeism,2018 - 2019,43,373,11.53
2019,Henrico County Public Schools,George H. Moody Middle,Chronic Absenteeism,2018 - 2019,71,1089,6.52
2019,Henrico County Public Schools,Glen Allen Elementary,Chronic Absenteeism,2018 - 2019,17,653,2.6
2019,Henrico County Public Schools,Glen Allen High,Chronic Absenteeism,2018 - 2019,165,1862,8.86
2019,Henrico County Public Schools,Glen Lea Elementary,Chronic Absenteeism,2018 - 2019,69,392,17.6
2019,Henrico County Public Schools,Greenwood Elementary ,Chronic Absenteeism,2018 - 2019,30,571,5.25
2019,Henrico County Public Schools,Harold Macon Ratcliffe Elementary,Chronic Absenteeism,2018 - 2019,39,403,9.68
2019,Henrico County Public Schools,Harvie Elementary,Chronic Absenteeism,2018 - 2019,49,556,8.81
2019,Henrico County Public Schools,Henrico High,Chronic Absenteeism,2018 - 2019,343,1623,21.13
2019,Henrico County Public Schools,Henry D. Ward Elementary,Chronic Absenteeism,2018 - 2019,70,465,15.05
2019,Henrico County Public Schools,Hermitage High,Chronic Absenteeism,2018 - 2019,328,1637,20.04
2019,Henrico County Public Schools,Highland Springs Elementary,Chronic Absenteeism,2018 - 2019,84,539,15.58
2019,Henrico County Public Schools,Highland Springs High,Chronic Absenteeism,2018 - 2019,484,1884,25.69
2019,Henrico County Public Schools,Holman Middle ,Chronic Absenteeism,2018 - 2019,36,996,3.61
2019,Henrico County Public Schools,Hungary Creek Middle ,Chronic Absenteeism,2018 - 2019,53,1019,5.2
2019,Henrico County Public Schools,Jackson Davis Elementary,Chronic Absenteeism,2018 - 2019,21,531,3.95
2019,Henrico County Public Schools,Jacob L. Adams Elementary,Chronic Absenteeism,2018 - 2019,62,436,14.22
2019,Henrico County Public Schools,John Randolph Tucker High,Chronic Absenteeism,2018 - 2019,313,1721,18.19
2019,Henrico County Public Schools,John Rolfe Middle,Chronic Absenteeism,2018 - 2019,158,891,17.73
2019,Henrico County Public Schools,L. Douglas Wilder Middle,Chronic Absenteeism,2018 - 2019,111,811,13.69
2019,Henrico County Public Schools,Laburnum Elementary,Chronic Absenteeism,2018 - 2019,88,509,17.29
2019,Henrico County Public Schools,Lakeside Elementary,Chronic Absenteeism,2018 - 2019,42,508,8.27
2019,Henrico County Public Schools,Longdale Elementary,Chronic Absenteeism,2018 - 2019,31,455,6.81
2019,Henrico County Public Schools,Maude Trevvett Elementary,Chronic Absenteeism,2018 - 2019,37,510,7.25
2019,Henrico County Public Schools,Maybeury Elementary,Chronic Absenteeism,2018 - 2019,21,642,3.27
2019,Henrico County Public Schools,Mills E. Godwin High,Chronic Absenteeism,2018 - 2019,167,1856,9
2019,Henrico County Public Schools,Montrose Elementary,Chronic Absenteeism,2018 - 2019,45,346,13.01
2019,Henrico County Public Schools,Nuckols Farm Elementary,Chronic Absenteeism,2018 - 2019,16,610,2.62
2019,Henrico County Public Schools,Pemberton Elementary,Chronic Absenteeism,2018 - 2019,12,293,4.1
2019,Henrico County Public Schools,Pinchbeck Elementary,Chronic Absenteeism,2018 - 2019,37,584,6.34
2019,Henrico County Public Schools,Pocahontas Middle,Chronic Absenteeism,2018 - 2019,40,952,4.2
2019,Henrico County Public Schools,Quioccasin Middle School,Chronic Absenteeism,2018 - 2019,94,1128,8.33
2019,Henrico County Public Schools,R.C. Longan Elementary,Chronic Absenteeism,2018 - 2019,31,458,6.77
2019,Henrico County Public Schools,Ridge Elementary,Chronic Absenteeism,2018 - 2019,21,531,3.95
2019,Henrico County Public Schools,Rivers Edge Elementary,Chronic Absenteeism,2018 - 2019,13,770,1.69
2019,Henrico County Public Schools,Ruby F. Carver Elementary,Chronic Absenteeism,2018 - 2019,31,463,6.7
2019,Henrico County Public Schools,Sandston Elementary,Chronic Absenteeism,2018 - 2019,5,161,3.11
2019,Henrico County Public Schools,Seven Pines Elementary,Chronic Absenteeism,2018 - 2019,54,396,13.64
2019,Henrico County Public Schools,Shady Grove Elementary,Chronic Absenteeism,2018 - 2019,16,682,2.35
2019,Henrico County Public Schools,Short Pump Elementary,Chronic Absenteeism,2018 - 2019,16,598,2.68
2019,Henrico County Public Schools,Short Pump Middle,Chronic Absenteeism,2018 - 2019,41,981,4.18
2019,Henrico County Public Schools,Skipwith Elementary,Chronic Absenteeism,2018 - 2019,38,510,7.45
2019,Henrico County Public Schools,Springfield Park Elementary,Chronic Absenteeism,2018 - 2019,24,654,3.67
2019,Henrico County Public Schools,Three Chopt Elementary,Chronic Absenteeism,2018 - 2019,21,287,7.32
2019,Henrico County Public Schools,Tuckahoe Elementary,Chronic Absenteeism,2018 - 2019,9,646,1.39
2019,Henrico County Public Schools,Tuckahoe Middle,Chronic Absenteeism,2018 - 2019,78,1118,6.98
2019,Henrico County Public Schools,Twin Hickory Elementary,Chronic Absenteeism,2018 - 2019,17,574,2.96
2019,Henrico County Public Schools,Varina Elementary,Chronic Absenteeism,2018 - 2019,27,338,7.99
2019,Henrico County Public Schools,Varina High,Chronic Absenteeism,2018 - 2019,296,1555,19.04
2019,Henry County Public Schools,Axton Elementary,Chronic Absenteeism,2018 - 2019,29,403,7.2
2019,Henry County Public Schools,Bassett High,Chronic Absenteeism,2018 - 2019,170,1096,15.51
2019,Henry County Public Schools,Campbell Court Elementary,Chronic Absenteeism,2018 - 2019,21,278,7.55
2019,Henry County Public Schools,Drewry Mason Elementary,Chronic Absenteeism,2018 - 2019,24,408,5.88
2019,Henry County Public Schools,Fieldale-Collinsville Middle ,Chronic Absenteeism,2018 - 2019,107,858,12.47
2019,Henry County Public Schools,G.W. Carver Elementary ,Chronic Absenteeism,2018 - 2019,40,488,8.2
2019,Henry County Public Schools,Laurel Park Middle ,Chronic Absenteeism,2018 - 2019,110,808,13.61
2019,Henry County Public Schools,Magna Vista High,Chronic Absenteeism,2018 - 2019,151,1076,14.03
2019,Henry County Public Schools,Meadow View Elementary,Chronic Absenteeism,2018 - 2019,54,591,9.14
2019,Henry County Public Schools,Mount Olivet Elementary ,Chronic Absenteeism,2018 - 2019,34,296,11.49
2019,Henry County Public Schools,Rich Acres Elementary,Chronic Absenteeism,2018 - 2019,21,259,8.11
2019,Henry County Public Schools,Sanville Elementary,Chronic Absenteeism,2018 - 2019,31,239,12.97
2019,Henry County Public Schools,Stanleytown Elementary,Chronic Absenteeism,2018 - 2019,22,273,8.06
2019,Highland County Public Schools,Highland Elementary,Chronic Absenteeism,2018 - 2019,11,82,13.41
2019,Highland County Public Schools,Highland High,Chronic Absenteeism,2018 - 2019,33,103,32.04
2019,Hopewell City Public Schools,Carter G. Woodson Middle,Chronic Absenteeism,2018 - 2019,130,919,14.15
2019,Hopewell City Public Schools,Dupont Elementary,Chronic Absenteeism,2018 - 2019,122,641,19.03
2019,Hopewell City Public Schools,Harry E. James Elementary,Chronic Absenteeism,2018 - 2019,90,609,14.78
2019,Hopewell City Public Schools,Hopewell High,Chronic Absenteeism,2018 - 2019,228,1151,19.81
2019,Hopewell City Public Schools,Patrick Copeland Elementary,Chronic Absenteeism,2018 - 2019,94,699,13.45
2019,Isle of Wight County Public Schools,Carrollton Elementary,Chronic Absenteeism,2018 - 2019,42,620,6.77
2019,Isle of Wight County Public Schools,Carrsville Elementary,Chronic Absenteeism,2018 - 2019,22,226,9.73
2019,Isle of Wight County Public Schools,Georgie D. Tyler Middle,Chronic Absenteeism,2018 - 2019,58,430,13.49
2019,Isle of Wight County Public Schools,Hardy Elementary,Chronic Absenteeism,2018 - 2019,52,492,10.57
2019,Isle of Wight County Public Schools,Smithfield High,Chronic Absenteeism,2018 - 2019,102,1216,8.39
2019,Isle of Wight County Public Schools,Smithfield Middle,Chronic Absenteeism,2018 - 2019,60,576,10.42
2019,Isle of Wight County Public Schools,Westside Elementary,Chronic Absenteeism,2018 - 2019,59,774,7.62
2019,Isle of Wight County Public Schools,Windsor Elementary,Chronic Absenteeism,2018 - 2019,69,546,12.64
2019,Isle of Wight County Public Schools,Windsor High,Chronic Absenteeism,2018 - 2019,82,497,16.5
2019,King George County Public Schools,King George Elementary,Chronic Absenteeism,2018 - 2019,132,861,15.33
2019,King George County Public Schools,King George High,Chronic Absenteeism,2018 - 2019,194,1266,15.32
2019,King George County Public Schools,King George Middle,Chronic Absenteeism,2018 - 2019,58,670,8.66
2019,King George County Public Schools,Potomac Elementary,Chronic Absenteeism,2018 - 2019,93,698,13.32
2019,King George County Public Schools,Sealston Elementary ,Chronic Absenteeism,2018 - 2019,101,796,12.69
2019,King William County Public Schools,Acquinton Elementary,Chronic Absenteeism,2018 - 2019,30,491,6.11
2019,King William County Public Schools,Cool Spring Primary,Chronic Absenteeism,2018 - 2019,33,446,7.4
2019,King William County Public Schools,Hamilton Holmes Middle,Chronic Absenteeism,2018 - 2019,138,528,26.14
2019,King William County Public Schools,King William High,Chronic Absenteeism,2018 - 2019,145,715,20.28
2019,King and Queen County Public Schools,Central High,Chronic Absenteeism,2018 - 2019,38,207,18.36
2019,King and Queen County Public Schools,King & Queen Elementary,Chronic Absenteeism,2018 - 2019,24,270,8.89
2019,King and Queen County Public Schools,Lawson-Marriott Elementary,Chronic Absenteeism,2018 - 2019,15,278,5.4
2019,Lancaster County Public Schools,Lancaster High,Chronic Absenteeism,2018 - 2019,118,369,31.98
2019,Lancaster County Public Schools,Lancaster Middle,Chronic Absenteeism,2018 - 2019,57,371,15.36
2019,Lancaster County Public Schools,Lancaster Primary,Chronic Absenteeism,2018 - 2019,46,303,15.18
2019,Lee County Public Schools,Dryden Elementary,Chronic Absenteeism,2018 - 2019,73,246,29.67
2019,Lee County Public Schools,Elk Knob Elementary,Chronic Absenteeism,2018 - 2019,54,253,21.34
2019,Lee County Public Schools,Elydale Middle,Chronic Absenteeism,2018 - 2019,23,149,15.44
2019,Lee County Public Schools,Flatwoods Elementary,Chronic Absenteeism,2018 - 2019,49,308,15.91
2019,Lee County Public Schools,Jonesville Middle,Chronic Absenteeism,2018 - 2019,24,213,11.27
2019,Lee County Public Schools,Lee High,Chronic Absenteeism,2018 - 2019,233,844,27.61
